title,link
Roundcube.Webmail.XML.Attachment.XSS,https://www.fortiguard.com/encyclopedia/ips/56096
TrendNet.TW100-S4W1CA.Echo.XSS,https://www.fortiguard.com/encyclopedia/ips/56062
Netentsec.NS-ASG.getethname.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56017
Netentsec.NS-ASG.listloginfo.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56009
Netentsec.NS-ASG.uploadfirewall.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56036
Netentsec.NS-ASG.uploadiscgwtunnel.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56042
HP.OfficeJet.ProductConfigDyn.XSS,https://www.fortiguard.com/encyclopedia/ips/56041
Netentsec.NS-ASG.add_postlogin.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56006
Netentsec.NS-ASG.check_VirtualSiteId.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56019
Netentsec.NS-ASG.config_Anticrack.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56005
Netentsec.NS-ASG.config_ISCGroupNoCache.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56002
Netentsec.NS-ASG.deleteiscgwrouteconf.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56052
Netentsec.NS-ASG.deleteiscuser.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56012
Netentsec.NS-ASG.deletemacbind.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56011
Netentsec.NS-ASG.list_crl_conf.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56013
Netentsec.NS-ASG.list_onlineuser.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56032
Netentsec.NS-ASG.add_ikev2.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/56000
Xiaomi.Mi.Router.AX9000.appid.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55622
Uniview.NVR301-04S2-P4.System.Security.Login.XSS,https://www.fortiguard.com/encyclopedia/ips/55997
Delta.Electronics.DX-2100-L1-CN.Urlfilter.XSS,https://www.fortiguard.com/encyclopedia/ips/55982
Netentsec.NS-ASG.config_MT.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55978
Netentsec.NS-ASG.uploadiscuser.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55979
Netentsec.NS-ASG.protocol.index.php.IPAddr.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55967
Campbell.Scientific.CSI.Web.Server.expr.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/55931
Yealink.VoIP.Phone.servlet.model.CRLF.Injection,https://www.fortiguard.com/encyclopedia/ips/55896
Yealink.VoIP.Phone.servlet.model.XSS,https://www.fortiguard.com/encyclopedia/ips/55897
Axis.Camera.view.shtml.XSS,https://www.fortiguard.com/encyclopedia/ips/55819
MS.Windows.Cloud.Driver.CVE-2024-30034.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/55725
MikroTik.RouterOS.SMB.Service.DoS,https://www.fortiguard.com/encyclopedia/ips/55840
Teradek.Slice.FriendlyName.XSS,https://www.fortiguard.com/encyclopedia/ips/55845
Optergy.Proton.and.Enterprise.showReset.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/55776
Optergy.Proton.and.Enterprise.updating.jsp.Open.Redirect,https://www.fortiguard.com/encyclopedia/ips/55779
Connectize.AC21000.G6.getPingResult.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55731
TBK.DVR.SOSTREAMAX.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55717
Digital.Watchdog.MEGApix.Bia_oneshot.XSS,https://www.fortiguard.com/encyclopedia/ips/55253
Imomobile.VH510.formDOMAINBLK.BlkDomain.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55437
Drobo.5N2.DroboAccess.Delete_user.XSS,https://www.fortiguard.com/encyclopedia/ips/55587
Drobo.5N2.DroboAccess.XSS,https://www.fortiguard.com/encyclopedia/ips/55586
H3C.Magic.Routers.EditSTList.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/54893
MISP.Event.Graph.Tag.Name.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/55707
Chiyu.cgi.CVE-2021-31252.Open.Redirect,https://www.fortiguard.com/encyclopedia/ips/55531
Chiyu.if.cgi.CVE-2021-31642.DoS,https://www.fortiguard.com/encyclopedia/ips/55532
MS.Visual.Studio.Code.VSIX.Extension.Malicious.Shell,https://www.fortiguard.com/encyclopedia/ips/55638
PHP.Cookie.Handling.CVE-2024-2756.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/55610
Treasure.Data.Digdag.getFile.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/55595
Chiyu.CVE-2021-31249.CRLF.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/55523
JetBrains.TeamCity.Agent.Distribution.CVE-2024-31138.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/55536
Node.js.n8n.CVE-2023-27562.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/55537
SalesAgility.SuiteCRM.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/54904
Apple.WebKit.QuickTimePluginReplacement.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/55491
Google.Chrome.CVE-2021-37976.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/55492
Maipu.MP1800X.formDeviceVerGet.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/55444
Nortek.Linear.eMerge.E3.CardFormatNo.XSS,https://www.fortiguard.com/encyclopedia/ips/55416
LG.LED.Assistant.thumbnail.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55441
Nortek.Linear.eMerge.E3.Badge.Template.XSS,https://www.fortiguard.com/encyclopedia/ips/55456
Thomson.TCW710.RGFirewallEL.XSS,https://www.fortiguard.com/encyclopedia/ips/55261
Thomson.TCW710.RgDdns.XSS,https://www.fortiguard.com/encyclopedia/ips/55258
Thomson.TCW710.RgDhcp.XSS,https://www.fortiguard.com/encyclopedia/ips/55256
Thomson.TCW710.RgTime.XSS,https://www.fortiguard.com/encyclopedia/ips/55260
Thomson.TCW710.RgUrlBlock.XSS,https://www.fortiguard.com/encyclopedia/ips/55255
Thomson.TCW710.WlanPrimaryNetwork.XSS,https://www.fortiguard.com/encyclopedia/ips/55262
EmbedThis.Appweb.Empty.Range.Header.DoS,https://www.fortiguard.com/encyclopedia/ips/55380
Palo.Alto.Networks.GlobalProtect.Portal.Login.Page.XSS,https://www.fortiguard.com/encyclopedia/ips/55345
Palo.Alto.Networks.PAN-OS.Management.Interface.ExtJS.Flash.XSS,https://www.fortiguard.com/encyclopedia/ips/55344
Palo.Alto.Networks.PAN-OS.Management.Interface.Upload.File.DoS,https://www.fortiguard.com/encyclopedia/ips/55347
AsyncSSH.UserAuth.Request.Message.Session.Redirect,https://www.fortiguard.com/encyclopedia/ips/55248
MS.WordPad.CVE-2023-36563.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/55238
TIBCO.JasperReports.Library.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/55108
Google.Chrome.PopupBlocker.Security.Bypass,https://www.fortiguard.com/encyclopedia/ips/54922
Tenda.AC10U.formSetDeviceName.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/54842
Tenda.AC10U.formSetVirtualSer.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/54844
Tenda.Router.fromDhcpListClient.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/54859
Tenda.Routers.PPPOEPassword.Stack.Overflow,https://www.fortiguard.com/encyclopedia/ips/54840
Google.Chrome.Reaper.window.history.DoS,https://www.fortiguard.com/encyclopedia/ips/54846
Zimbra.Collaboration.Error.Code.XSS,https://www.fortiguard.com/encyclopedia/ips/54854
Google.Chrome.performance.API.res.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54819
Allegra.GanttAndSchExportAction.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54786
AsyncSSH.Extension.Info.Message.Extension.Downgrade,https://www.fortiguard.com/encyclopedia/ips/54744
VMware.Aria.Operations.for.Networks.Login.Banner.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/54775
Google.Chrome.Autofill.CVE-2021-21215.Security.UI.Spoofing,https://www.fortiguard.com/encyclopedia/ips/54709
Roundcube.Webmail.rcube_string_replacer.XSS,https://www.fortiguard.com/encyclopedia/ips/54673
OpenSSH.Terrapin.Attack,https://www.fortiguard.com/encyclopedia/ips/54577
GStreamer.gst-plugins-good.gstflacparse.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54541
Netgate.pfSense.status_logs_filter_dynamic.php.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/54543
WordPress.wp_lang.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54545
Apple.Safari.WebKit.parent-tab.processing.XSS,https://www.fortiguard.com/encyclopedia/ips/54539
GStreamer.RealMedia.rmdemux.Integer.Overflow,https://www.fortiguard.com/encyclopedia/ips/54536
quic-go.Crypto.Ack.Nil.Pointer.DoS,https://www.fortiguard.com/encyclopedia/ips/54531
Linux.Kernel.ksmbd.Compounded.Session.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54512
Qlik.Sense.qmc.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/54477
PTC.Codebeamer.ALM.errorHandler.Reflected.XSS,https://www.fortiguard.com/encyclopedia/ips/54421
Directus.File.Collection.Import.SSRF,https://www.fortiguard.com/encyclopedia/ips/54414
FortiOS.webUI.JSON.params.DoS,https://www.fortiguard.com/encyclopedia/ips/54415
JumpServer.SessionViewSet.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54385
XWiki.User.Profile.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/54350
Sielco.Radio.Link.FM.Transmitters.Privilege.Escalation,https://www.fortiguard.com/encyclopedia/ips/54337
Roundcube.Webmail.rcube_washtml.php.XSS,https://www.fortiguard.com/encyclopedia/ips/54306
Sinilink.XY-WFT1.CVE-2022-43704.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54307
Hikvision.Access.Control.Intercom.update.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54299
PyTorch.Model.Server.Insecure.Remote.MAR.File.Download.Request,https://www.fortiguard.com/encyclopedia/ips/54226
